customer,location,unit,job_date,diagnosis,diagnosis_raw,invoice_subtotal,tax_rate,invoice_tax,invoice_total
Wynnefield Properties,Kirkwood Crossing,2218 2F,04/21/25 12:10 PM,AHU - Evap Coil - Replace,,"$1,680.50",6.75%,$113.43,"$1,793.93"
Wynnefield Properties,Kirkwood Crossing,2218 3G,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,649.62",6.75%,$111.35,"$1,760.97"
Wynnefield Properties,Kirkwood Crossing,2218-1E,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,543.62",6.75%,$104.19,"$1,647.81"
Wynnefield Properties,Kirkwood Crossing,2238-1B,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,701.96",6.75%,$114.88,"$1,816.84"
Wynnefield Properties,Kirkwood Crossing,2238-2B,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$2,328.50",6.75%,$157.17,"$2,485.67"
Wynnefield Properties,Kirkwood Crossing,2208-3B,05/27/25 11:02 AM,AHU - Cond Lines - Clear,,$125.00,6.75%,$8.44,$133.44
Wynnefield Properties,Kirkwood Crossing,2218 1E,06/27/25 10:38 AM,AHU - Cond Lines - Clear,,$206.00,6.75%,$13.91,$219.91
Wynnefield Properties,Kirkwood Crossing,2218-1E,07/15/25 12:08 PM,AHU - Cond Lines - Clear,,$151.00,6.75%,$10.19,$161.19
Wynnefield Properties,Kirkwood Crossing,2218-3B,05/27/25 11:02 AM,AHU - Cond Lines - Clear,,$165.00,6.75%,$11.14,$176.14
Wynnefield Properties,Kirkwood Crossing,2218-3B,05/27/25 11:02 AM,AHU - Cond Lines - Clear,,$250.00,6.75%,$16.88,$266.88
Wynnefield Properties,Kirkwood Crossing,2218-3G,05/27/25 11:02 AM,AHU - Cond Lines - Clear,,$167.50,6.75%,$11.31,$178.81
Wynnefield Properties,Kirkwood Crossing,2208 3G,06/26/25 7:11 AM,,,$292.00,6.75%,$19.71,$311.71
Wynnefield Properties,Kirkwood Crossing,2208-1B,05/27/25 11:02 AM,AHU - Motor - Replace - Transverse,,"$1,102.00",6.75%,$74.39,"$1,176.39"
Wynnefield Properties,Kirkwood Crossing,2218-3G,05/27/25 11:02 AM,AHU - Motor - Replace - Transverse,,$936.38,6.75%,$63.21,$999.59
Wynnefield Properties,Kirkwood Crossing,2208-2G,05/27/25 11:02 AM,SYS - TOTAL - Change Out - Wall Mount,,"$4,737.70",6.75%,$319.79,"$5,057.49"
Wynnefield Properties,Kirkwood Crossing,2218-3B,05/27/25 11:02 AM,SYS - TOTAL - Change Out - Wall Mount,,"$4,036.60",6.75%,$272.47,"$4,309.07"
Wynnefield Properties,Kirkwood Crossing,2248-1H,05/27/25 11:02 AM,SYS - TOTAL - Change Out - Wall Mount,,"$4,770.80",6.75%,$322.03,"$5,092.83"
Wynnefield Properties,Kirkwood Crossing,2248-2B,05/27/25 11:02 AM,SYS - TOTAL - Change Out - Wall Mount,,"$4,503.50",6.75%,$303.99,"$4,807.49"
Wynnefield Properties,Kirkwood Crossing,2218-3G,05/27/25 11:02 AM,CU - Capacitor - Replace,,$323.45,6.75%,$21.83,$345.28
Wynnefield Properties,Kirkwood Crossing,2248-2B,05/27/25 11:02 AM,CU - Capacitor - Replace,,$153.80,6.75%,$10.38,$164.18
Wynnefield Properties,Kirkwood Crossing,2208-1E,05/27/25 11:02 AM,CU - Compressor - Replace,,"$2,271.00",6.75%,$153.29,"$2,424.29"
Wynnefield Properties,Kirkwood Crossing,2218-2G,07/15/25 12:08 PM,CU - Compressor - Replace,,"$2,290.50",6.75%,$154.61,"$2,445.11"
Wynnefield Properties,Kirkwood Crossing,2238-3C,05/27/25 11:02 AM,CU - Compressor - Replace,,"$2,133.40",6.75%,$144.00,"$2,277.40"
Wynnefield Properties,Kirkwood Crossing,2248 3E,06/26/25 7:13 AM,CU - Compressor - Replace,,"$2,663.50",6.75%,$179.79,"$2,843.29"
Wynnefield Properties,Kirkwood Crossing,2248-1H,05/27/25 11:02 AM,CU - Compressor - Replace,,"$2,133.40",6.75%,$144.00,"$2,277.40"
Wynnefield Properties,Kirkwood Crossing,2208 - 1H,05/27/25 11:02 AM,CU - TXV - Replace,,"$1,158.50",6.75%,$78.20,"$1,236.70"
Wynnefield Properties,Kirkwood Crossing,2218-1G,05/27/25 11:02 AM,CU - TXV - Replace,,"$1,158.50",6.75%,$78.20,"$1,236.70"
